year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2001","ARGENTINA","AR","12 DE OCTUBRE","AR-22036","CHACO","AR-22","2281.4013400994972"
"2001","ARGENTINA","AR","1º DE MAYO","AR-22126","CHACO","AR-22","199.175695129294"
"2001","ARGENTINA","AR","25 DE MAYO","AR-22168","CHACO","AR-22","315.4334005623472"
"2001","ARGENTINA","AR","2 DE ABRIL","AR-22039","CHACO","AR-22","293.3001777452581"
"2001","ARGENTINA","AR","9 DE JULIO","AR-22105","CHACO","AR-22","671.2301016835314"
"2001","ARGENTINA","AR","9 DE JULIO","AR-82077","SANTA FE","AR-82","2751.792784318036"
"2001","ARGENTINA","AR","AGUIRRE","AR-86007","SANTIAGO DEL ESTERO","AR-86","3080.422560671089"
"2001","ARGENTINA","AR","ALBERDI","AR-86014","SANTIAGO DEL ESTERO","AR-86","16151.435615458731"
"2001","ARGENTINA","AR","ALMIRANTE BROWN","AR-22007","CHACO","AR-22","4754.504444660625"
"2001","ARGENTINA","AR","AMBATO","AR-10007","CATAMARCA","AR-10","52.07355947047472"
"2001","ARGENTINA","AR","ANCASTI","AR-10014","CATAMARCA","AR-10","29.25274933836624"
"2001","ARGENTINA","AR","ANTA","AR-66007","SALTA","AR-66","8833.862741506888"
"2001","ARGENTINA","AR","ATAMISQUI","AR-86021","SANTIAGO DEL ESTERO","AR-86","865.0087291546604"
"2001","ARGENTINA","AR","AVELLANEDA","AR-86028","SANTIAGO DEL ESTERO","AR-86","1263.5302887939063"
"2001","ARGENTINA","AR","AYACUCHO","AR-74007","SAN LUIS","AR-74","2958.481982920655"
"2001","ARGENTINA","AR","BANDA","AR-86035","SANTIAGO DEL ESTERO","AR-86","2461.3014589516847"
"2001","ARGENTINA","AR","BELGRANO","AR-74014","SAN LUIS","AR-74","2104.5787192728885"
"2001","ARGENTINA","AR","BELGRANO","AR-86042","SANTIAGO DEL ESTERO","AR-86","3656.4394608188495"
"2001","ARGENTINA","AR","BERMEJO","AR-22014","CHACO","AR-22","437.46327081702503"
"2001","ARGENTINA","AR","BERMEJO","AR-34007","FORMOSA","AR-34","1300.7944127790774"
"2001","ARGENTINA","AR","CALAMUCHITA","AR-14007","CORDOBA","AR-14","402.4724143264633"
"2001","ARGENTINA","AR","CAPAYAN","AR-10042","CATAMARCA","AR-10","742.1504871650945"
"2001","ARGENTINA","AR","CAPITAL","AR-10049","CATAMARCA","AR-10","45.7980405241251"
"2001","ARGENTINA","AR","CAPITAL","AR-18021","CORRIENTES","AR-18","88.99878908401611"
"2001","ARGENTINA","AR","CAPITAL","AR-46014","LA RIOJA","AR-46","3022.4004456768434"
"2001","ARGENTINA","AR","CAPITAL","AR-86049","SANTIAGO DEL ESTERO","AR-86","4743.71883698401"
"2001","ARGENTINA","AR","CERRILLOS","AR-66035","SALTA","AR-66","112.20151154924841"
"2001","ARGENTINA","AR","CHACABUCO","AR-22028","CHACO","AR-22","865.0303368678865"
"2001","ARGENTINA","AR","CHACABUCO","AR-74028","SAN LUIS","AR-74","1673.236311621701"
"2001","ARGENTINA","AR","CHAMICAL","AR-46035","LA RIOJA","AR-46","289.46123873889445"
"2001","ARGENTINA","AR","CHOYA","AR-86063","SANTIAGO DEL ESTERO","AR-86","3155.736307152463"
"2001","ARGENTINA","AR","COMANDANTE FERNANDEZ","AR-22021","CHACO","AR-22","428.3041002409423"
"2001","ARGENTINA","AR","COPO","AR-86056","SANTIAGO DEL ESTERO","AR-86","3981.0179477932115"
"2001","ARGENTINA","AR","CRUZ ALTA","AR-90014","TUCUMAN","AR-90","638.3836215448146"
"2001","ARGENTINA","AR","CRUZ DEL EJE","AR-14028","CORDOBA","AR-14","5245.13999808384"
"2001","ARGENTINA","AR","EL ALTO","AR-10056","CATAMARCA","AR-10","103.9760674610734"
"2001","ARGENTINA","AR","FIGUEROA","AR-86070","SANTIAGO DEL ESTERO","AR-86","2121.4726592034394"
"2001","ARGENTINA","AR","FORMOSA","AR-34014","FORMOSA","AR-34","1050.2218802559023"
"2001","ARGENTINA","AR","FRAY JUSTO SANTA MARIA DE ORO","AR-22043","CHACO","AR-22","169.9862656473237"
"2001","ARGENTINA","AR","FRAY MAMERTO ESQUIU","AR-10063","CATAMARCA","AR-10","5.2059595733881"
"2001","ARGENTINA","AR","GENERAL ANGEL V. PENALOZA","AR-46056","LA RIOJA","AR-46","647.2522795098962"
"2001","ARGENTINA","AR","GENERAL BELGRANO","AR-22049","CHACO","AR-22","988.5427123222573"
"2001","ARGENTINA","AR","GENERAL BELGRANO","AR-46063","LA RIOJA","AR-46","375.25534476339817"
"2001","ARGENTINA","AR","GENERAL DONOVAN","AR-22056","CHACO","AR-22","158.63280409963107"
